stn_1,stn_2,taxi,bus,underground
1,2,0,0,1
2,3,0,1,1
3,4,0,0,1
4,1,0,1,1
1,5,0,1,0
6,5,0,1,0
6,2,0,1,0
6,8,0,1,0
6,7,0,1,0
6,4,0,1,0
6,9,0,1,0
7,4,0,1,0
8,2,0,1,0
8,3,0,1,0
2,5,1,1,0
3,7,1,1,0
4,9,1,1,0
1,10,1,0,0
1,22,1,0,0
1,15,1,0,0
1,9,1,0,0
2,12,1,0,0
2,11,1,0,0
2,5,1,0,0
3,12,1,0,0
3,13,1,0,0
3,21,1,0,0
3,7,1,0,0
4,15,1,0,0
4,14,1,0,0
5,22,1,0,0
5,10,1,0,0
5,16,1,0,0
5,11,1,0,0
6,16,1,0,0
6,15,1,0,0
6,17,1,0,0
6,18,1,0,0
7,13,1,0,0
7,14,1,0,0
8,12,1,0,0
8,21,1,0,0
9,1,1,0,0
10,22,1,0,0
10,11,1,0,0
10,16,1,0,0
10,20,1,0,0
12,17,1,0,0
13,14,1,0,0
13,18,1,0,0
14,18,1,0,0
14,19,1,0,0
15,19,1,0,0
15,20,1,0,0
17,18,1,0,0
18,21,1,0,0
19,20,1,0,0
1,6,0,0,1
3,6,0,0,1
23,11,1,0,0
23,16,1,0,0
23,17,1,0,0
23,2,1,0,0
24,22,1,0,0
24,1,1,1,0
24,25,1,0,0
24,5,0,1,0
24,9,0,1,0
25,9,1,0,0
25,1,1,0,0
25,15,1,0,0
26,9,1,0,0
26,15,1,0,0
26,19,1,0,0
26,27,1,0,0
27,15,1,0,0
27,4,1,0,0
27,28,1,0,0
28,4,1,1,0
28,29,1,0,0
28,9,0,1,0
28,7,0,1,0
29,4,1,0,0
29,19,1,0,0
29,30,1,0,0
30,7,1,0,0
30,14,1,0,0
30,19,1,0,0
31,5,1,0,0
31,2,1,0,0
31,32,1,0,0
32,33,1,0,0
32,34,1,0,0
33,32,1,0,0
33,35,1,0,0
33,5,0,1,0
33,8,0,1,0
33,2,0,0,1
33,3,0,0,1
34,2,1,0,0
34,32,1,0,0
34,35,1,0,0
34,40,1,0,0
35,36,1,0,0
36,8,1,0,0
36,23,1,0,0
37,3,1,0,0
37,7,1,0,0
37,38,1,0,0
37,40,1,0,0
38,39,1,0,0
38,40,1,0,0
38,3,1,0,0
38,21,1,0,0
39,21,1,0,0
39,40,1,0,0
39,7,0,1,0
39,8,0,1,0
39,2,0,0,1
39,3,0,0,1
40,3,1,0,0
40,21,1,0,0
40,8,1,0,0
40,12,1,0,0
40,18,1,0,0
